IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.150.13,2096,true,SIN,Asia Pacific,Singapore,223 ms,5173 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,229 ms,5028 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,215 ms,4970 kB/s
47.243.27.217,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,4941 kB/s
47.236.7.106,2053,true,SIN,Asia Pacific,Singapore,264 ms,4932 kB/s
8.219.106.15,2083,true,SIN,Asia Pacific,Singapore,235 ms,4780 kB/s
8.219.106.156,2083,true,SIN,Asia Pacific,Singapore,219 ms,4768 kB/s
8.219.106.15,8443,true,SIN,Asia Pacific,Singapore,212 ms,4665 kB/s
47.243.27.217,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,4642 kB/s
8.219.0.162,8443,true,SIN,Asia Pacific,Singapore,235 ms,4578 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,276 ms,4574 kB/s
8.222.252.150,2083,true,SIN,Asia Pacific,Singapore,225 ms,4546 kB/s
47.245.126.151,2083,true,SIN,Asia Pacific,Singapore,223 ms,4397 kB/s
8.219.106.15,2087,true,SIN,Asia Pacific,Singapore,223 ms,4035 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,276 ms,3859 kB/s
47.236.104.11,2096,true,SIN,Asia Pacific,Singapore,256 ms,3832 kB/s
47.245.126.151,2087,true,SIN,Asia Pacific,Singapore,233 ms,3700 kB/s
47.236.170.54,2087,true,SIN,Asia Pacific,Singapore,225 ms,3689 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,212 ms,3263 kB/s
47.245.118.70,2096,true,SIN,Asia Pacific,Singapore,228 ms,2991 kB/s
47.236.38.38,443,true,SIN,Asia Pacific,Singapore,218 ms,2851 kB/s
47.245.126.151,2096,true,SIN,Asia Pacific,Singapore,252 ms,2447 kB/s
47.243.107.148,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,2405 kB/s
47.245.118.70,2053,true,SIN,Asia Pacific,Singapore,245 ms,2341 kB/s
8.219.174.142,2096,true,SIN,Asia Pacific,Singapore,221 ms,2142 kB/s
47.243.107.148,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,2105 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,2057 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,250 ms,1884 kB/s
47.245.118.70,2083,true,SIN,Asia Pacific,Singapore,238 ms,1842 kB/s
47.243.107.148,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,1762 kB/s
47.236.111.174,443,true,SIN,Asia Pacific,Singapore,270 ms,1151 kB/s
8.217.145.40,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,492 kB/s
8.222.240.251,443,true,SIN,Asia Pacific,Singapore,213 ms,393 kB/s
8.217.167.88,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,246 kB/s
47.88.101.9,80,true,SJC,North America,San Jose,175 ms,185 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,262 ms,185 kB/s
8.217.167.88,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,163 kB/s
8.210.199.6,443,true,HKG,Asia Pacific,Hong Kong,58 ms,141 kB/s
8.217.167.88,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,131 kB/s
8.217.167.88,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,118 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,170 ms,54 kB/s
8.217.167.88,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.243.107.148,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
8.218.209.144,443,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
8.222.252.150,443,true,SIN,Asia Pacific,Singapore,240 ms,0 kB/s
8.219.1.169,443,true,SIN,Asia Pacific,Singapore,228 ms,0 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
